milk is a kind of food  & (S (NP (NN milk)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN food)))))) 
train whistle is a source of sound  & (S (NP (NN train) (NN whistle)) (VP (VBZ is) (NP (NP (DT a) (NN source)) (PP (IN of) (NP (NN sound)))))) 
transferring is similar to adding  & (S (NP (NN transferring)) (VP (VBZ is) (ADJP (JJ similar) (PP (IN to) (S (VP (VBG adding))))))) 
reaction to light is a kind of chemical property  & (S (NP (NP (NN reaction)) (PP (IN to) (NP (NN light)))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ chemical) (NN property)))))) 
magnetism is a kind of physical property  & (S (NP (NN magnetism)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ physical) (NN property)))))) 
the body of a mammal is a source of heat  & (S (NP (NP (DT the) (NN body)) (PP (IN of) (NP (DT a) (NN mammal)))) (VP (VBZ is) (NP (NP (DT a) (NN source)) (PP (IN of) (NP (NN heat)))))) 
the substance is metal  & (S (NP (DT the) (NN substance)) (VP (VBZ is) (NP (NN metal)))) 
countering the motion of a moving object means decreasing the mechanical energy of the moving object  & (S (S (VP (VBG countering) (NP (NP (DT the) (NN motion)) (PP (IN of) (NP (DT a) (VBG moving) (NN object)))))) (VP (VBZ means) (S (VP (VBG decreasing) (NP (NP (DT the) (JJ mechanical) (NN energy)) (PP (IN of) (NP (DT the) (VBG moving) (NN object)))))))) 
eye color is an inherited characteristic  & (S (NP (NN eye) (NN color)) (VP (VBZ is) (NP (DT an) (VBN inherited) (NN characteristic)))) 
messages in the body are observations in the form of electrical signals  & (S (NP (NP (NNS messages)) (PP (IN in) (NP (DT the) (NN body)))) (VP (VBP are) (NP (NP (NNS observations)) (PP (IN in) (NP (NP (DT the) (NN form)) (PP (IN of) (NP (JJ electrical) (NNS signals)))))))) 
develop is similar to form  & (S (VP (VB develop)) (VBZ is) (ADJP (JJ similar) (PP (TO to) (VP (VB form))))) 
the continental crust is made of rock  & (S (NP (DT the) (JJ continental) (NN crust)) (VP (VBZ is) (VP (VBN made) (PP (IN of) (NP (NN rock)))))) 
earthquakes cause rock layers to fold on top of each other  & (S (NP (NNS earthquakes)) (VP (VBP cause) (S (NP (NN rock) (NNS layers)) (VP (TO to) (VP (VB fold) (PP (IN on) (NP (NP (NN top)) (PP (IN of) (NP (DT each) (JJ other)))))))))) 
both parents are heterozygous dominant for sickle cell anemia  & (S (NP (DT both) (NNS parents)) (VP (VBP are) (JJ heterozygous) (JJ dominant) (PP (IN for) (NP (NN sickle) (NN cell) (NN anemia))))) 
the winter in the northern hemisphere is during the summer in the southern hemisphere  & (S (NP (NP (DT the) (NN winter)) (PP (IN in) (NP (DT the) (JJ northern) (NN hemisphere)))) (VBZ is) (PP (IN during) (NP (DT the) (NN summer))) (IN in) (NP (DT the) (JJ southern) (NN hemisphere))) 
phosphate is a kind of sediment  & (S (NP (NNP phosphate)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN sediment)))))) 
precipitation is a property of weather  & (S (NP (NN precipitation)) (VP (VBZ is) (NP (NP (DT a) (NN property)) (PP (IN of) (NP (NN weather)))))) 
a human is a kind of organism  & (S (NP (DT a) (NN human)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN organism)))))) 
a wildfire can mean a forest fire  & (S (NP (DT a) (NN wildfire)) (VP (MD can) (VP (VB mean) (NP (DT a) (NN forest) (NN fire))))) 
a producer is a kind of organism that obtains food by producing its own food  & (S (NP (DT a) (NN producer)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN organism))) (WHNP (WDT that)) (S (VP (VBZ obtains) (NP (NN food)) (PP (IN by) (S (VP (VBG producing) (NP (PRP$ its) (JJ own) (NN food)))))))))) 
hunting is not an instinctive behavior  & (S (NP (NN hunting)) (VP (VBZ is) (RB not) (NP (DT an) (JJ instinctive) (NN behavior)))) 
dried lava is a kind of volcanic rock  & (S (NP (VBN dried) (NN lava)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ volcanic) (NN rock)))))) 
if an organism requires something then that something has a positive impact on that organism  & (SBAR (IN if) (NP (DT an) (NN organism)) (VP (VBZ requires) (NP (NN something)) (ADVP (RB then)) (IN that) (S (NP (NN something)) (VP (VBZ has) (NP (NP (DT a) (JJ positive) (NN impact)) (PP (IN on) (NP (DT that) (NN organism)))))))) 
going to school generally occurs during the day  & (S (S (VP (VBG going) (PP (IN to) (NP (NN school))))) (ADVP (RB generally)) (VBZ occurs) (PP (IN during) (NP (DT the) (NN day)))) 
the kind of fruit produced by trees is a chracteristic of trees  & (S (NP (NP (DT the) (NN kind)) (PP (IN of) (NP (NP (NN fruit)) (VP (VBN produced) (PP (IN by) (NP (NNS trees))))))) (VBZ is) (NP (NP (DT a) (NN chracteristic)) (PP (IN of) (NP (NNS trees))))) 
large birds eat small animals  & (S (NP (JJ large) (NNS birds)) (VP (VBP eat) (NP (JJ small) (NNS animals)))) 
the source of heat energy on earth is transferred from the sun to earth  & (S (NP (NP (DT the) (NN source)) (PP (PP (IN of) (NP (NN heat) (NN energy))) (PP (IN on) (NP (NN earth))))) (VP (VBZ is) (VP (VBN transferred) (PP (IN from) (NP (DT the) (NN sun))) (PP (IN to) (NP (NN earth)))))) 
a cactus lives in the desert  & (S (NP (DT a) (NN cactus)) (VP (VBZ lives) (PP (IN in) (NP (DT the) (NN desert))))) 
the heat energy of water is decreasing  & (S (NP (NP (DT the) (NN heat) (NN energy)) (PP (IN of) (NP (NN water)))) (VP (VBZ is) (VP (VBG decreasing)))) 
the outer core is located beneath the mantle  & (S (NP (DT the) (JJ outer) (NN core)) (VP (VBZ is) (VP (VBN located) (PP (IN beneath) (NP (DT the) (NN mantle)))))) 
a neutron has a neutral 0 electric charge  & (S (NP (DT a) (NN neutron)) (VP (VBZ has) (NP (DT a) (JJ neutral) (CD 0) (JJ electric) (NN charge)))) 
salt and pepper are mixed in a container  & (S (NP (NN salt) (CC and) (NN pepper)) (VP (VBP are) (VP (VBN mixed) (PP (IN in) (NP (DT a) (NN container)))))) 
a nest is used for protecting young by birds  & (S (NP (DT a) (NN nest)) (VP (VBZ is) (VP (VBN used) (PP (IN for) (S (VP (VBG protecting) (NP (JJ young)) (PP (IN by) (NP (NNS birds))))))))) 
aluminum cans are made of aluminums  & (S (NP (NN aluminum) (NNS cans)) (VP (VBP are) (VP (VBN made) (PP (IN of) (NP (NNS aluminums)))))) 
closing is similar to completing  & (S (NP (NN closing)) (VP (VBZ is) (JJ similar) (PP (IN to) (S (VP (VBG completing)))))) 
scavengers decrease the amount of dead organisms  & (S (NP (NNS scavengers)) (VP (VBP decrease) (NP (NP (DT the) (NN amount)) (PP (IN of) (NP (JJ dead) (NNS organisms)))))) 
if sediments are formed by colored rocks then the sediments will have the same color  & (S (IN if) (S (NP (NNS sediments)) (VP (VBP are) (VP (VBN formed) (PP (IN by) (NP (JJ colored) (NNS rocks)))))) (RB then) (NP (DT the) (NNS sediments)) (VP (MD will) (VP (VB have) (NP (DT the) (JJ same) (NN color))))) 
if a process requires something then increasing that process increases the amount of that something  & (S (SBAR (IN if) (S (NP (DT a) (NN process)) (VBZ requires) (NP (NN something)) (ADVP (RB then)) (S (VP (VBG increasing) (NP (IN that) (NN process)))))) (VBZ increases) (NP (NP (DT the) (NN amount)) (PP (IN of) (NP (DT that) (NN something))))) 
quasars emits large amount of light  & (S (NP (NNS quasars)) (VP (VBZ emits) (NP (NP (JJ large) (NN amount)) (PP (IN of) (NP (NN light)))))) 
particles in a gas have more kinetic energy than particles in a liquid  & (S (NP (NP (NNS particles)) (PP (IN in) (NP (DT a) (NN gas)))) (VP (VBP have) (NP (NP (JJR more) (JJ kinetic) (NN energy)) (PP (IN than) (NP (NP (NNS particles)) (PP (IN in) (NP (DT a) (NN liquid)))))))) 
the food preference of a dog is affected by its environment  & (S (NP (NP (DT the) (NN food) (NN preference)) (PP (IN of) (NP (DT a) (NN dog)))) (VP (VBZ is) (VP (VBN affected) (PP (IN by) (NP (PRP$ its) (NN environment)))))) 
the ceiling is at the top of a room  & (S (NP (DT the) (NN ceiling)) (VP (VBZ is) (PP (IN at) (NP (NP (DT the) (NN top)) (PP (IN of) (NP (DT a) (NN room))))))) 
the Sun rising and setting causes cycles of day and night  & (S (NP (DT the) (NNP Sun)) (VP (VP (VBG rising)) (CC and) (VP (VBG setting) (NNS causes) (NP (NNS cycles)) (PP (IN of) (NP (NN day) (CC and) (NN night)))))) 
global temperature means the temperature of the planet  & (S (NP (JJ global) (NN temperature)) (VP (VBZ means) (NP (NP (DT the) (NN temperature)) (PP (IN of) (NP (DT the) (NN planet)))))) 
genes determine the traits for the living things  & (S (NP (NNS genes)) (VP (VBP determine) (NP (NP (DT the) (NNS traits)) (PP (IN for) (NP (DT the) (VBG living) (NNS things)))))) 
place is synonymous with location  & (S (NP (NN place)) (VP (VBZ is) (ADJP (JJ synonymous) (PP (IN with) (NP (NN location)))))) 
shelter can protect animals from rain  & (S (NP (NNP shelter)) (VP (MD can) (VP (VB protect) (NP (NNS animals)) (PP (IN from) (NP (NN rain)))))) 
as the amount of daylight increases sunset will occur later in the day  & (SBAR (IN as) (S (NP (NP (DT the) (NN amount)) (PP (PP (IN of) (NP (NN daylight))) (VP (VBZ increases) (NP (NN sunset))))) (VP (MD will) (VP (VB occur) (ADVP (RB later) (PP (IN in) (NP (DT the) (NN day)))))))) 
the gravitational force of a planet does not change the mass of an object on that planet or celestial body  & (S (NP (NP (DT the) (JJ gravitational) (NN force)) (PP (IN of) (NP (DT a) (NN planet)))) (VP (VBZ does) (RB not) (VP (VB change) (NP (NP (DT the) (NN mass)) (PP (IN of) (NP (DT an) (NN object))) (PP (IN on) (NP (NP (DT that) (NN planet)) (CC or) (NP (JJ celestial) (NN body)))))))) 
frequency is a property of the light wave and a particle of light  & (S (NP (NNP frequency)) (VP (VBZ is) (NP (NP (DT a) (NN property)) (PP (PP (IN of) (NP (DT the) (JJ light) (NN wave))) (CC and) (NP (NP (DT a) (NN particle)) (PP (IN of) (NP (NN light)))))))) 
apparent motion of stars is when stars appear to move relative to earth s position  & (S (NP (NP (JJ apparent) (NN motion)) (PP (IN of) (NP (NNS stars)))) (VP (VBZ is) (SBAR (WHADVP (WRB when)) (S (NP (NNS stars)) (VP (VBP appear) (S (VP (TO to) (VP (VB move) (JJ relative) (IN to) (NP (NN earth) (POS s) (NN position)))))))))) 
smell can be used to detect food odors  & (S (NP (NN smell)) (MD can) (VP (VB be) (VP (VBN used) (S (VP (TO to) (VP (VB detect) (NP (NN food) (NNS odors)))))))) 
comparing requires measuring  & (S (VP (S (VP (VBG comparing))) (VP (VBZ requires) (S (VP (VBG measuring)))))) 
a white shirt is white in color  & (S (NP (DT a) (JJ white) (NN shirt)) (VP (VBZ is) (ADJP (ADJP (JJ white)) (PP (IN in) (NP (NN color)))))) 
a decomposer is a kind of organism that breaks down dead organisms  & (S (NP (DT a) (NN decomposer)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN organism))) (WHNP (WDT that)) (S (VP (VBZ breaks) (PRT (RP down)) (NP (JJ dead) (NNS organisms))))))) 
erosion can cause the rocks and soil on a mountain to move downhill  & (S (NP (NN erosion)) (VP (MD can) (VP (VB cause) (S (NP (NP (DT the) (NNS rocks) (CC and) (NN soil)) (PP (IN on) (NP (DT a) (NN mountain)))) (VP (TO to) (VP (VB move) (ADVP (RB downhill)))))))) 
if something has a definite volume then its volume will not change when transferred into a different container  & (S (SBAR (IN if) (S (NP (NN something)) (VP (VBZ has) (NP (DT a) (JJ definite) (NN volume))))) (ADVP (RB then)) (NP (PRP$ its) (NN volume)) (VP (MD will) (RB not) (VP (VB change) (SBAR (WHADVP (WRB when)) (S (VP (VBN transferred) (PP (IN into) (NP (DT a) (JJ different) (NN container))))))))) 
living in the warm ash from a volcano can have a positive impact on an animal s survival  & (S (S (VP (VBG living) (PP (IN in) (NP (NP (DT the) (JJ warm) (NN ash)) (PP (IN from) (NP (DT a) (NN volcano))))))) (VP (MD can) (VP (VB have) (NP (NP (DT a) (JJ positive) (NN impact)) (PP (IN on) (NP (DT an) (NN animal) (POS s) (NN survival))))))) 
oxygen is more common than hydrogen on Earth  & (S (NP (NN oxygen)) (VP (VBZ is) (ADJP (RBR more) (JJ common)) (IN than) (NP (NN hydrogen)) (PP (IN on) (NP (NNP Earth))))) 
a forest environment contains many leaves  & (S (NP (DT a) (NN forest) (NN environment)) (VP (VBZ contains) (NP (JJ many) (NNS leaves)))) 
roots hold soil in place  & (S (NP (NNS roots)) (VP (VBP hold) (NP (NN soil)) (PP (IN in) (NP (NN place))))) 
many means high in number  & (S (NP (JJ many)) (VP (VBZ means) (JJ high) (PP (IN in) (NP (NN number))))) 
a lake is a kind of body of water  & (S (NP (DT a) (NN lake)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NP (NN body)) (PP (IN of) (NP (NN water)))))))) 
chemical bonds are formed in sodium and chlorine elements  & (S (NP (JJ chemical) (NNS bonds)) (VP (VBP are) (VP (VBN formed) (PP (IN in) (NP (NN sodium) (CC and) (NN chlorine) (NNS elements)))))) 
cells are a smaller level of organization than tissues in living things  & (S (NP (NNS cells)) (VP (VBP are) (NP (NP (DT a) (JJR smaller) (NN level)) (PP (IN of) (NP (NN organization))) (IN than) (NP (NNS tissues)) (PP (IN in) (NP (VBG living) (NNS things)))))) 
if two things are thousands of miles apart then those two things are separate from each other  & (S (SBAR (IN if) (S (NP (CD two) (NNS things)) (VP (VBP are) (ADVP (NP (NP (NNS thousands)) (PP (IN of) (NP (NNS miles)))) (RB apart))))) (RB then) (S (NP (DT those) (CD two) (NNS things)) (VP (VBP are) (ADJP (JJ separate) (PP (IN from) (NP (DT each) (JJ other))))))) 
a certain animal has specialized cells  & (S (NP (DT a) (JJ certain) (NN animal)) (VP (VBZ has) (NP (VBN specialized) (NNS cells)))) 
odor is a property of gas  & (S (NP (NNP odor)) (VP (VBZ is) (NP (NP (DT a) (NN property)) (PP (IN of) (NP (NN gas)))))) 
howling is a kind of behavior  & (S (NP (NN howling)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN behavior)))))) 
an example of a calcium carbonate deposit in the lithosphere is the limestone  & (S (NP (NP (DT an) (NN example)) (PP (IN of) (NP (NP (DT a) (NN calcium) (NN carbonate) (NN deposit)) (PP (IN in) (NP (DT the) (NNP lithosphere)))))) (VP (VBZ is) (NP (DT the) (NN limestone)))) 
the ice cube in the hot pan will become hot  & (S (NP (NP (DT the) (NN ice) (NN cube)) (PP (IN in) (NP (DT the) (JJ hot) (NN pan)))) (VP (MD will) (VP (VB become) (ADJP (JJ hot))))) 
a household cat is small in size  & (S (NP (DT a) (NN household) (NN cat)) (VP (VBZ is) (ADJP (JJ small)) (PP (IN in) (NP (NN size))))) 
being around something means surrounding that something  & (S (VP (VBG being) (IN around) (NP (NP (NN something)) (NNS means)) (VP (VBG surrounding) (NP (IN that) (NP (NN something)))))) 
measuring milliliters requires a graduated cylinder  & (S (S (VP (VBG measuring) (NP (NNS milliliters)))) (VP (VBZ requires) (NP (DT a) (VBN graduated) (NN cylinder)))) 
gardens are located outside  & (S (NP (NNPS gardens)) (VP (VBP are) (VP (VBN located) (IN outside)))) 
the nervous system is used for controlling the body  & (S (NP (DT the) (JJ nervous) (NN system)) (VP (VBZ is) (VP (VBN used) (PP (IN for) (S (VP (VBG controlling) (NP (DT the) (NN body)))))))) 
the nervous system is a kind of body system  & (S (NP (DT the) (JJ nervous) (NN system)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN body) (NN system)))))) 
the collision of tectonic plates are found at the convergent boundaries  & (S (NP (NP (DT the) (NN collision)) (PP (IN of) (NP (JJ tectonic) (NNS plates)))) (VP (VBP are) (VP (VBN found) (PP (IN at) (NP (DT the) (NN convergent) (NNS boundaries)))))) 
the sun transfers energy from itself to the earth through sunlight  & (S (NP (DT the) (NN sun)) (VP (VBZ transfers) (NP (NN energy)) (PP (IN from) (NP (PRP itself))) (PP (IN to) (NP (DT the) (NN earth))) (PP (IN through) (NP (NN sunlight))))) 
the offspring of two tay  sachs carriers will have 25  probability to be homozygous recessive in tay  sachs disease  & (S (NP (NP (DT the) (NN offspring)) (PP (IN of) (NP (CD two) (NN tay) (NN sachs) (NNS carriers)))) (VP (MD will) (VP (VB have) (NP (CD 25) (NN probability) (S (VP (TO to) (VP (VB be) (ADJP (JJ homozygous) (JJ recessive)) (PP (IN in) (NP (NNP tay) (NN sachs) (NN disease)))))))))) 
if two animals live in different environments then those two animals will have different food sources  & (S (IN if) (S (NP (CD two) (NNS animals)) (VP (VBP live) (PP (IN in) (NP (JJ different) (NNS environments))))) (ADVP (RB then)) (NP (DT those) (CD two) (NNS animals)) (VP (MD will) (VP (VB have) (NP (JJ different) (NN food) (NNS sources))))) 
influence means impact  & (S (NP (NN influence)) (VP (VBZ means) (NP (NN impact)))) 
fog is made of rain droplets  & (S (NP (NNP fog)) (VP (VBZ is) (VP (VBN made) (PP (IN of) (NP (NN rain) (NNS droplets)))))) 
an example of an assistive device is a contact lens  & (S (NP (NP (DT an) (NN example)) (PP (IN of) (NP (DT an) (JJ assistive) (NN device)))) (VP (VBZ is) (NP (DT a) (NN contact) (NN lens)))) 
a relationship occurs when two or more things interact with one another  & (S (NP (DT a) (NN relationship)) (VP (VBZ occurs) (SBAR (WHADVP (WRB when)) (S (NP (QP (CD two) (CC or) (JJR more)) (NNS things)) (VP (VBP interact) (PP (IN with) (NP (CD one) (DT another)))))))) 
a compound can be chemically separated into the elements that it is made of  & (S (NP (DT a) (NN compound)) (VP (MD can) (VP (VB be) (VP (ADVP (RB chemically)) (VBN separated) (PP (IN into) (NP (NP (DT the) (NNS elements)) (SBAR (WHNP (IN that)) (S (NP (PRP it)) (VP (VBZ is) (VP (VBN made) (PP (IN of)))))))))))) 
lenses are a kind of object  & (S (NP (NNS lenses)) (VP (VBP are) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN object)))))) 
a soda can is made of aluminum  & (S (NP (DT a) (NN soda) (MD can)) (VP (VBZ is) (VP (VBN made) (PP (IN of) (NP (NN aluminum)))))) 
the chemical symbol for helium is he  & (S (NP (NP (DT the) (NN chemical) (NN symbol)) (PP (IN for) (NP (NN helium)))) (VP (VBZ is) (NP (PRP he)))) 
a rubber brush is rubbed on wool  & (S (NP (DT a) (NN rubber) (NN brush)) (VP (VBZ is) (VP (VBN rubbed) (PP (IN on) (NP (NN wool)))))) 
pollen is a food source for bees  & (S (NP (NN pollen)) (VP (VBZ is) (NP (NP (DT a) (NN food) (NN source)) (PP (IN for) (NP (NNS bees)))))) 
learning about the cause of something has a positive impact on preventing that something  & (S (S (VP (VBG learning) (PP (IN about) (NP (NP (DT the) (NN cause)) (PP (IN of) (NP (NN something))))))) (VP (VBZ has) (NP (NP (DT a) (JJ positive) (NN impact)) (PP (IN on) (S (VP (VBG preventing) (NP (DT that) (NN something)))))))) 
as the distance of the star to earth decreases the star will appear brighter  & (S (IN as) (S (NP (NP (DT the) (NN distance)) (PP (IN of) (NP (DT the) (NN star))) (PP (IN to) (NP (NN earth)))) (VP (VBZ decreases)) (NP (DT the) (NN star)) (VP (MD will) (VP (VB appear) (ADJP (JJR brighter)))))) 
sucking blood from an organism usually has a negative impact on that organism  & (S (S (VP (VBG sucking) (NP (NN blood)) (PP (IN from) (NP (DT an) (NN organism))))) (ADVP (RB usually)) (VBZ has) (NP (NP (DT a) (JJ negative) (NN impact)) (PP (IN on) (NP (DT that) (NN organism))))) 
becoming is a kind of action  & (S (S (VP (VBG becoming))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN action)))))) 
plants produce sugar during photosynthesis  & (S (NP (NNS plants)) (VP (VBP produce) (NP (NN sugar)) (PP (IN during) (NP (NN photosynthesis))))) 
a rose is a kind of plant  & (S (NP (DT a) (NN rose)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN plant)))))) 
trees of different species have differently shaped leaves  & (S (NP (NP (NNS trees)) (PP (IN of) (NP (JJ different) (NNS species)))) (VP (VBP have) (VP (ADVP (RB differently)) (VBN shaped) (NNS leaves)))) 
a body of water contains water  & (S (NP (NP (DT a) (NN body)) (PP (IN of) (NP (NN water)))) (VP (VBZ contains) (NP (NN water)))) 
growing is a kind of process  & (S (S (VP (VBG growing))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN process)))))) 
as the amount of organic matter in soil increases the soil will become more fertile  & (SBAR (IN as) (S (NP (NP (DT the) (NN amount)) (PP (PP (IN of) (NP (JJ organic) (NN matter))) (PP (IN in) (NP (NN soil))))) (VBZ increases) (NP (DT the) (NN soil)) (VP (MD will) (VP (VB become) (ADJP (RBR more) (JJ fertile)))))) 
planting trees increases the amount of trees in an environment  & (S (VP (S (VP (VBG planting) (NP (NNS trees)))) (VP (VBZ increases) (NP (DT the) (NN amount)) (PP (IN of) (NP (NNS trees))) (PP (IN in) (NP (DT an) (NN environment)))))) 
in the solution sugar water the solvent is water  & (S (PP (IN in) (NP (NP (DT the) (NN solution)) (NN sugar) (NN water))) (NP (DT the) (NN solvent)) (VP (VBZ is) (NP (NN water)))) 
sonar is used to find the location of an object by sound waves  & (S (NP (NNP sonar)) (VP (VBZ is) (VP (VBN used) (S (VP (TO to) (VP (VB find) (NP (NP (DT the) (NN location)) (PP (IN of) (NP (DT an) (NN object)))) (PP (IN by) (NP (JJ sound) (NNS waves))))))))) 
seawater comes from a sea  & (S (NP (NN seawater)) (VP (VBZ comes) (PP (IN from) (NP (DT a) (NN sea))))) 
as number of organisms in a group increases the chance of survival of each organism will increase  & (S (PP (IN as) (NP (NP (NP (NN number)) (PP (IN of) (NP (NNS organisms)))) (PP (IN in) (NP (DT a) (NN group))))) (VBZ increases) (NP (NP (DT the) (NN chance)) (PP (IN of) (NP (NP (NN survival)) (PP (IN of) (NP (DT each) (NN organism)))))) (MD will) (VP (VB increase))) 
erosion is a part of geological process  & (S (NP (NN erosion)) (VP (VBZ is) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (JJ geological) (NN process)))))) 
camouflage is a kind of adaptation for decreasing something s ability to be seen in an environment  & (S (NP (NN camouflage)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (IN of) (NP (NP (NN adaptation)) (PP (IN for) (S (VP (VBG decreasing) (NP (NN something) (JJ s) (NN ability) (S (VP (TO to) (VP (VB be) (VP (VBN seen) (PP (IN in) (NP (DT an) (NN environment))))))))))))))) 
a shiny aluminum screen on a car will reflect light away from the car  & (S (NP (NP (DT a) (JJ shiny) (NN aluminum) (NN screen)) (PP (IN on) (NP (DT a) (NN car)))) (VP (MD will) (VP (VB reflect) (NP (VB light)) (RB away) (PP (IN from) (NP (DT the) (NN car)))))) 
tectonic plates are made of particles  & (S (NP (JJ tectonic) (NNS plates)) (VP (VBP are) (VP (VBN made) (PP (IN of) (NP (NNS particles)))))) 
decaying plant is a source of nutrients in soil  & (S (NP (VBG decaying) (NN plant)) (VP (VBZ is) (NP (NP (DT a) (NN source)) (PP (IN of) (NP (NP (NNS nutrients)) (PP (IN in) (NP (NN soil)))))))) 
an example of camouflage is organism having the same color as its environment  & (S (NP (NP (DT an) (NN example)) (PP (IN of) (NP (NN camouflage)))) (VP (VBZ is) (NP (NP (NN organism)) (VP (VBG having) (NP (NP (DT the) (JJ same) (NN color)) (PP (IN as) (NP (PRP$ its) (NN environment)))))))) 
decomposition of dead organisms is important for the formation of fertile soil  & (S (NP (NP (NN decomposition)) (PP (IN of) (NP (JJ dead) (NNS organisms)))) (VP (VBZ is) (ADJP (JJ important)) (PP (IN for) (NP (NP (DT the) (NN formation)) (PP (IN of) (NP (JJ fertile) (NN soil))))))) 
to use less of something means decreasing the use of something  & (S (VP (S (VP (TO to) (VP (VB use) (NP (NP (JJR less)) (PP (IN of) (NP (NN something))))))) (VP (VBZ means) (S (VP (VBG decreasing) (NP (NP (DT the) (NN use)) (PP (IN of) (NP (NN something))))))))) 
the hydrosphere is a thin layer of water covering the earth s surface  & (S (NP (DT the) (NNP hydrosphere)) (VP (VBZ is) (NP (NP (DT a) (JJ thin) (NN layer)) (PP (IN of) (NP (NN water))) (VBG covering) (NP (DT the) (NN earth) (NNP s) (NN surface))))) 
salt dissolving in water is an example of two substances being combined physically  & (S (NP (NP (NN salt) (NN dissolving)) (PP (IN in) (NP (NN water)))) (VP (VBZ is) (NP (NP (DT an) (NN example)) (PP (IN of) (NP (NP (CD two) (NNS substances)) (VP (VBG being) (VP (VBN combined) (ADVP (RB physically))))))))) 
secondary succession requires soil to happen  & (S (NP (JJ secondary) (NN succession)) (VP (VBZ requires) (NP (NN soil)) (VP (TO to) (VP (VB happen))))) 
dry and hot weather for a long time can cause drought  & (S (NP (NP (ADJP (JJ dry) (CC and) (JJ hot)) (NN weather)) (PP (IN for) (NP (DT a) (JJ long) (NN time)))) (VP (MD can) (VP (VB cause) (NP (NN drought))))) 
a blood thinner can be used to treat people with heart attacks and strokes  & (S (NP (DT a) (NN blood) (NN thinner)) (VP (MD can) (VP (VB be) (VP (VBN used) (S (VP (TO to) (VP (VB treat) (NP (NP (NNS people)) (PP (IN with) (NP (NN heart) (NNS attacks) (CC and) (NNS strokes))))))))))) 
a dolphin can balance a ball on its nose  & (S (NP (DT a) (NN dolphin)) (VP (MD can) (VP (VB balance) (NP (DT a) (NN ball)) (PP (IN on) (NP (PRP$ its) (NN nose)))))) 
electrical insulation over a conducting wire is required to protect the user  & (S (NP (NP (JJ electrical) (NN insulation)) (PP (IN over) (NP (DT a) (VBG conducting) (NN wire)))) (VP (VBZ is) (VP (VBN required) (S (VP (TO to) (VP (VB protect) (NP (DT the) (NN user)))))))) 
a piano is a kind of musical instrument  & (S (NP (DT a) (NN piano)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ musical) (NN instrument)))))) 
an inclined plane is a kind of simple machine  & (S (NP (DT an) (JJ inclined) (NN plane)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ simple) (NN machine)))))) 
alkaline earth metal elements have two valence electrons  & (S (NP (NNP alkaline) (NNP earth) (NN metal) (NNS elements)) (VP (VBP have) (NP (CD two) (NN valence) (NNS electrons)))) 
lava is found above the ground  & (S (NP (NNP lava)) (VP (VBZ is) (VP (VBN found) (PP (IN above) (NP (DT the) (NN ground)))))) 
a desert is a kind of land feature  & (S (NP (DT a) (NN desert)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN land) (NN feature)))))) 
a fertilized egg is formed by a sperm and an egg cell fusing together  & (S (NP (DT a) (JJ fertilized) (NN egg)) (VP (VBZ is) (VP (VBN formed) (PP (IN by) (NP (DT a) (NN sperm)) (CC and) (NP (DT an) (NN egg) (NN cell)) (VP (VBG fusing) (ADVP (RB together))))))) 
electrical energy causes different substances to form from water  & (S (NP (JJ electrical) (NN energy)) (VP (VBZ causes) (S (NP (JJ different) (NNS substances)) (VP (TO to) (VP (VB form) (PP (IN from) (NP (NN water)))))))) 
having no natural predators increases population size  & (S (VP (VBG having) (NP (DT no) (JJ natural) (NNS predators)) (VP (VBZ increases) (NP (NN population) (NN size))))) 
most chloroplasts are a part of leaves of a plant  & (S (NP (JJS most) (NNS chloroplasts)) (VP (VBP are) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (NP (NNS leaves)) (PP (IN of) (NP (DT a) (NN plant)))))))) 
